t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
2.899999999999938183e-01,-1.152190588865341869e+00,-3.461104187150609302e-01,-2.484093906929829843e-01,-3.876432398884502861e-01,-4.465586444450882035e-03,-3.482190151962718389e-02,-5.698690222822636597e-01,-1.062231540605986235e-01
2.999999999999936051e-01,-1.154599035622839942e+00,-3.498054934307867625e-01,-2.484522923376832337e-01,-3.879912872776644650e-01,-4.114322245209424064e-03,-3.478803414122546428e-02,-5.707642406832597048e-01,-1.062327373361460076e-01
3.099999999999933920e-01,-1.157008604404036189e+00,-3.535054912818370587e-01,-2.484916697832453558e-01,-3.883390085785660695e-01,-3.760759744460509535e-03,-3.475666884912578108e-02,-5.716623366677844320e-01,-1.062417434993550569e-01
3.199999999999931788e-01,-1.159419268571351136e+00,-3.572104258128969145e-01,-2.485275004122937670e-01,-3.886864283871385717e-01,-3.404972178454550649e-03,-3.472771977706958640e-02,-5.725632140978097473e-01,-1.062502126153402199e-01
3.299999999999929656e-01,-1.161831000317957052e+00,-3.609203088618436195e-01,-2.485597623427283909e-01,-3.890335704163351838e-01,-3.047033355047223599e-03,-3.470109622616403960e-02,-5.734667768813929145e-01,-1.062581838669496570e-01
3.399999999999927525e-01,-1.164243770690211344e+00,-3.646351505841018970e-01,-2.485884344331392992e-01,-3.893804574488867742e-01,-2.687017594142894050e-03,-3.467670289153403085e-02,-5.743729290260672915e-01,-1.062656955323046104e-01
3.499999999999925393e-01,-1.166657549610701006e+00,-3.683549594777744129e-01,-2.486134962876432875e-01,-3.897271112923649805e-01,-2.324999671024782083e-03,-3.465444008594888159e-02,-5.752815746877757430e-01,-1.062727849636405930e-01
3.599999999999923261e-01,-1.169072305901874831e+00,-3.720797424095120265e-01,-2.486349282601632016e-01,-3.900735527364536104e-01,-1.961054762224521183e-03,-3.463420395764806037e-02,-5.761926182151502207e-01,-1.062794885673604695e-01
3.699999999999921130e-01,-1.171488007310207857e+00,-3.758095046410732665e-01,-2.486527114581807141e-01,-3.904198015123637733e-01,-1.595258393883040990e-03,-3.461588670108929622e-02,-5.771059641889445535e-01,-1.062858417852159676e-01
3.799999999999918998e-01,-1.173904620530887621e+00,-3.795442498565361755e-01,-2.486668277459832543e-01,-3.907658762543101960e-01,-1.227686392227550754e-03,-3.459937675746872776e-02,-5.780215174564460323e-01,-1.062918790765610966e-01
3.899999999999916866e-01,-1.176322111232970036e+00,-3.832839801901088417e-01,-2.486772597474274371e-01,-3.911117944629323162e-01,-8.584148366716850024e-04,-3.458455900377800651e-02,-5.789391831606643946e-01,-1.062976339016396404e-01
3.999999999999914735e-01,-1.178740444084973582e+00,-3.870286962545066434e-01,-2.486839908482438299e-01,-3.914575724705581794e-01,-4.875200145807249952e-04,-3.457131493153632606e-02,-5.798588667641276784e-01,-1.063031387058817195e-01
