t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
4.899999999999895550e-01,-1.216465001125869527e+00,-2.149851079141378740e+00,-6.258338636232166907e-01,-6.864472742865154187e-01,4.953766852030926787e-02,2.669462617848054053e-01,-6.672777458123401173e-01,-1.149845466585688036e-01
4.999999999999893419e-01,-1.222662915424411523e+00,-2.156524170402610796e+00,-6.253311638016525453e-01,-6.837741864422844928e-01,5.100144575947828524e-02,2.676689107325428418e-01,-6.692218534635246963e-01,-1.147617047537104890e-01
5.099999999999891287e-01,-1.228856090735793272e+00,-2.163174121685377038e+00,-6.248138497740566288e-01,-6.810939386589321964e-01,5.246051465165717936e-02,2.683782511869173826e-01,-6.711695984920574842e-01,-1.145409948409994993e-01
5.199999999999889155e-01,-1.235044378060338177e+00,-2.169800833596848832e+00,-6.242819684960160265e-01,-6.784066639790342634e-01,5.391489977260416344e-02,2.690742914535074748e-01,-6.731208840324849341e-01,-1.143224966609368287e-01
5.299999999999887024e-01,-1.241227628543495554e+00,-2.176404205295845440e+00,-6.237355667050418218e-01,-6.757124953667439371e-01,5.536462017471765334e-02,2.697570389086904052e-01,-6.750756123369672235e-01,-1.141062888509579154e-01
5.399999999999884892e-01,-1.247405693484180844e+00,-2.182984134587102609e+00,-6.231746909754380948e-01,-6.730115657171500398e-01,5.680968946158826416e-02,2.704264999871522912e-01,-6.770336847512200551e-01,-1.138924488993110773e-01
5.499999999999882760e-01,-1.253578424343702258e+00,-2.189540518015855142e+00,-6.225993877723715597e-01,-6.703040078657356293e-01,5.825011587234745630e-02,2.710826801750879644e-01,-6.789950016906198815e-01,-1.136810530991854834e-01
5.599999999999880629e-01,-1.259745672755249402e+00,-2.196073250962670809e+00,-6.220097035050921042e-01,-6.675899545978607463e-01,5.968590236718301911e-02,2.717255840109503717e-01,-6.809594626166958209e-01,-1.134721765031227875e-01
5.699999999999878497e-01,-1.265907290533942797e+00,-2.202582227738366427e+00,-6.214056845792620409e-01,-6.648695386582292866e-01,6.111704672056956361e-02,2.723552150884482326e-01,-6.829269660142043286e-01,-1.132658928777410395e-01
5.799999999999876366e-01,-1.272063129687423633e+00,-2.209067341678981666e+00,-6.207873774483283480e-01,-6.621428927603054682e-01,6.254354161927366818e-02,2.729715760638454780e-01,-6.848974093689914611e-01,-1.130622746587957722e-01
5.899999999999874234e-01,-1.278213042426960433e+00,-2.215528485240704004e+00,-6.201548286638967067e-01,-6.594101495956370407e-01,6.396537476377296694e-02,2.735746686657040683e-01,-6.868706891468130404e-01,-1.128613929066019650e-01
