t,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
5.200000000000000178e-01,-9.851127061960613940e-01,-1.813289097025201801e+00,-1.349488708388545843e+00,-2.470691590200245980e+00,-1.955305783058320479e+00,1.789280968100917413e+00,-5.389474754964499459e-01,2.375987787395526407e+00,-1.009900758313166058e+00,-1.273271764932101480e+00,-1.362965475320865594e-01,3.172651369189745107e-01,4.975532842682824364e-01,-1.580187309448140454e+00,1.449115768288266715e+00,-2.305471124592358034e+00,1.504747557073514708e+00,-3.748854291854593068e-01,1.009863684528391126e+01,-2.422770929898962144e+00,-5.447799275195107427e+00,-5.984830775955913840e-01,4.657480340684089226e-01,-2.715937668394524662e-01,5.898371760660905266e-03,2.044255466302890567e-01,2.206161747389215055e-01,-3.147320305880125374e-02
5.400000000000000355e-01,-9.366975902180773028e-01,-1.833597308625948497e+00,-1.373783642736322363e+00,-2.472378111701496906e+00,-1.948434355847603827e+00,1.800282193073925452e+00,-5.696012727580295198e-01,2.393341884541581699e+00,-1.013361246878749844e+00,-1.285214186763915301e+00,-1.048196375810385716e-01,3.248059836427621971e-01,5.328780321796994235e-01,-1.530753483517262037e+00,-1.532628379834979349e-01,-1.481989618939966863e-02,-4.585891040015639408e-01,1.287619660894164131e+00,5.915196324626560198e+00,1.675616362279711780e+00,-2.781010508230351341e+00,-7.141422376360070379e-01,5.178945079213332914e-01,-2.172661577193795157e-01,-3.407012598808886739e-02,2.084310771006098184e-01,2.023618593538209220e-01,-4.745079078303907072e-02
5.600000000000000533e-01,-8.890958610459936962e-01,-1.854400473505844360e+00,-1.400618506109629902e+00,-2.473794371575888551e+00,-1.942082569210274334e+00,1.810360183173176374e+00,-5.995596513461788346e-01,2.402482953135358645e+00,-1.022132024975842768e+00,-1.294088449055574852e+00,-6.542967243891167906e-02,3.362285560344349111e-01,5.003947418503248423e-01,-1.547710748301202033e+00,-6.479426514555215455e-01,-2.824253870541970635e+00,2.602369528749090222e+00,1.904685522261667208e+00,4.230769542841067654e+00,-9.200431600039955526e+00,-1.077115752596407106e+01,-8.021692145710208610e-01,5.489740065023975824e-01,-1.894806639941691573e-01,-1.139229730515863015e-01,1.860132983047548816e-01,1.853338888037200094e-01,-4.335296139977699859e-02
5.799999999999999600e-01,-8.403868013920773317e-01,-1.874844513372267762e+00,-1.426614651047267479e+00,-2.476365633814853418e+00,-1.935825161640453373e+00,1.820708532019943870e+00,-6.304547180943310680e-01,2.426238166402429730e+00,-1.014129765025001628e+00,-1.300276954197106649e+00,-2.890512229897423263e-02,3.422832850340354893e-01,5.344303569032716750e-01,-1.524459901214634927e+00,1.678913457783548946e+00,1.937591415932823358e+00,-1.114860338023724529e+00,2.877081546731199424e+00,5.356524115477030890e+00,-4.309789376563645469e+00,-1.238817119934036093e+01,-8.985841771614859752e-01,5.917853357089377653e-01,-1.495594194877993832e-01,-1.602926675698193304e-01,1.777082463958252478e-01,1.856115446554400805e-01,-4.937952712747524509e-02
5.999999999999999778e-01,-7.922848838519104264e-01,-1.895320835193761377e+00,-1.451894555740802728e+00,-2.474822775017120779e+00,-1.928035980218171463e+00,1.831167528939831035e+00,-6.609545858979664068e-01,2.439522119888228868e+00,-1.014731479752071452e+00,-1.303201143642326754e+00,-3.841079543229864585e-03,3.659977048669127986e-01,5.441832712530213501e-01,-1.517935317871080381e+00,4.192212861842953275e-01,1.159133582610713864e+00,-1.780664039995548953e-01,5.540724965039608430e-01,2.284233868738766216e+00,1.653262844609071580e+00,-1.125727622146150253e+01,-1.008243771015278289e+00,6.283108180553156341e-01,-8.185531374865784304e-02,-2.196109353611645221e-01,1.267471851473554456e-01,1.757004794049402963e-01,-6.865494077288709918e-02
6.199999999999999956e-01,-7.429967831611060669e-01,-1.915016737199612296e+00,-1.477904519194537691e+00,-2.475443279831363252e+00,-1.920936936899022340e+00,1.841657298058153591e+00,-6.899489495795774197e-01,2.450827824867924498e+00,-1.013498271852197430e+00,-1.301352113169587099e+00,1.156084376614476862e-02,3.642968456684629874e-01,5.470732853805129192e-01,-1.453474738132867428e+00,1.281294852828600783e+00,1.382555252973762527e-01,-1.901926451422448094e+00,2.932174927771984407e-01,-4.753215838958523953e+00,5.387390589093897120e+00,2.671416876719715461e+01,-1.092387828204404610e+00,6.612449227535197593e-01,-9.756706904669763813e-02,-2.482048428686223773e-01,1.205576970251509977e-01,1.902921153366117502e-01,-2.231174838600259031e-02
6.400000000000000133e-01,-6.932440623565166993e-01,-1.935205103806585392e+00,-1.505461066222518518e+00,-2.474185995662707249e+00,-1.915374235686804649e+00,1.852836685964037944e+00,-7.185179077480517984e-01,2.438585436967311004e+00,-1.016211031891564254e+00,-1.308242665042733455e+00,4.929961737227409047e-02,3.424113185852384333e-01,5.435583370979260032e-01,-1.499716609527264488e+00,-2.298352007495567395e-01,4.967314927821792625e-01,-1.034185133559025749e+00,1.719600658323051423e+00,-5.541357974970236855e-01,1.025555180808833278e+01,-1.570307895370652496e+01,-1.159534024498283911e+00,6.662704654889857192e-01,-6.986586210361284133e-02,-3.063961476955193719e-01,1.479870549454221640e-01,1.907093138279332412e-01,-4.979240490814240694e-02
6.600000000000000311e-01,-6.459025088605259146e-01,-1.955503256999833850e+00,-1.531195365851665047e+00,-2.472806012234339601e+00,-1.907067326411205466e+00,1.864541819370224340e+00,-7.474059722936113870e-01,2.435591864972956877e+00,-1.023735555862169910e+00,-1.292940917118587718e+00,7.681798503181418158e-02,3.588791595236853760e-01,5.340452946856936167e-01,-1.446825942451544167e+00,-1.701993004009335397e+00,-9.325972586542249365e-01,7.626023880347584383e-01,4.180215837289054548e+00,-7.219821384313262591e+00,-1.467596763164487950e+00,7.878078150004647284e+00,-1.237973988691434712e+00,7.173109648164630592e-01,-2.232471470895333945e-02,-3.227428428569430463e-01,9.388645865817871194e-02,1.636577045277055331e-01,-5.239367663947684661e-02
6.800000000000000488e-01,-5.961621089801513174e-01,-1.976618025573854576e+00,-1.556730781706835876e+00,-2.470722750195422091e+00,-1.899341119882949513e+00,1.873958649347401195e+00,-7.756399318567080980e-01,2.432596722938242806e+00,-9.928719625803966720e-01,-1.302092687424224904e+00,1.181809868521775109e-01,3.760525722838523599e-01,5.362925102315704295e-01,-1.414030146400787613e+00,9.128836308021359702e-01,3.712723713980717211e+00,-3.623221483779051955e+00,1.911845002812027516e+00,-6.591209796519040820e-01,3.810319201015482271e+00,5.892903636690713931e-01,-1.319704486287422096e+00,7.239065253748160345e-01,-6.425437063897043027e-03,-4.228133170438032051e-01,9.347606083551220080e-02,1.992933719495502687e-01,-7.144114758679137589e-02
7.000000000000000666e-01,-5.479609759391985691e-01,-1.995825344390603773e+00,-1.582129770058033902e+00,-2.468915806232010901e+00,-1.891904147021905125e+00,1.884996625017171468e+00,-8.040595897118220092e-01,2.432974750389612417e+00,-9.738858300715068639e-01,-1.299217398647930510e+00,1.614815012148140272e-01,3.612871699484889731e-01,5.475385903577083546e-01,-1.397995188732713778e+00,1.027397360993566933e+00,3.978036173051831881e+00,-1.680589823233306079e+00,3.024033206194464807e+00,8.456663739597634066e-01,2.540733653806249936e+00,-4.588631013084185639e+00,-1.383843361455488141e+00,7.343118790872082968e-01,1.995213940459301949e-02,-4.182486593846964640e-01,1.197727316545039999e-01,1.350768072531268182e-01,-9.659263251201451184e-02
