epoch,train_normalized_mse,validation_normalized_mse
1.110000000000000000e+02,2.495815369436266053e-03,1.494408303425469819e+00
1.120000000000000000e+02,2.635235959012869646e-03,1.504489676516596930e+00
1.130000000000000000e+02,2.638245694471908365e-03,1.494126516564205254e+00
1.140000000000000000e+02,2.528356625002487965e-03,1.504276567703724643e+00
1.150000000000000000e+02,2.574087798385718290e-03,1.498762709849890129e+00
1.160000000000000000e+02,2.519807662067754996e-03,1.507337603964545858e+00
1.170000000000000000e+02,2.948206007414592902e-03,1.492302529354385898e+00
1.180000000000000000e+02,2.731139358450630338e-03,1.506463355337753107e+00
1.190000000000000000e+02,2.566089486413450447e-03,1.499293412519915103e+00
1.200000000000000000e+02,2.622370229570008572e-03,1.501438700868565235e+00
1.210000000000000000e+02,2.472298685642354901e-03,1.500792783454056645e+00
1.220000000000000000e+02,2.536387908647475594e-03,1.508931959881461005e+00
1.230000000000000000e+02,2.530971118955419215e-03,1.504226946234844764e+00
1.240000000000000000e+02,2.500518542975845894e-03,1.509628024906606303e+00
1.250000000000000000e+02,2.552742386675085819e-03,1.504240235479748167e+00
1.260000000000000000e+02,2.461089036650807027e-03,1.509087343680606264e+00
1.270000000000000000e+02,2.504252010508548672e-03,1.502505438837090423e+00
1.280000000000000000e+02,2.670067659166280947e-03,1.508879977274899087e+00
1.290000000000000000e+02,2.483951431216460844e-03,1.512659857339042180e+00
1.300000000000000000e+02,2.497465202323911025e-03,1.506635903187773184e+00
1.310000000000000000e+02,2.946980121284317310e-03,1.505808782960778025e+00
1.320000000000000000e+02,2.677639661767065946e-03,1.500458527740653025e+00
1.330000000000000000e+02,2.557907610546995229e-03,1.508819553109276956e+00
1.340000000000000000e+02,2.458448995964041504e-03,1.511349968073235184e+00
1.350000000000000000e+02,2.518866077719932300e-03,1.512703673143141359e+00
1.360000000000000000e+02,2.471583735790339100e-03,1.502763434378788787e+00
1.370000000000000000e+02,2.757793758657713177e-03,1.511167640512486976e+00
1.380000000000000000e+02,2.548711829845208120e-03,1.508916720112697618e+00
1.390000000000000000e+02,2.431310625152692095e-03,1.514324488893986631e+00
1.400000000000000000e+02,2.465556902554834947e-03,1.512911539052671284e+00
1.410000000000000000e+02,2.700689656361009855e-03,1.502588886908468480e+00
1.420000000000000000e+02,2.468943038868921889e-03,1.504371552975448223e+00
1.430000000000000000e+02,2.430980785074480805e-03,1.503796086697547052e+00
1.440000000000000000e+02,2.436550643256310197e-03,1.514553370144923417e+00
1.450000000000000000e+02,2.532350498567456469e-03,1.505534566789521689e+00
1.460000000000000000e+02,2.496501500395566057e-03,1.506815822958099682e+00
1.470000000000000000e+02,2.526215933076926112e-03,1.499772697815289879e+00
1.480000000000000000e+02,2.372609014946630655e-03,1.503626239391957498e+00
1.490000000000000000e+02,2.353327538073636972e-03,1.504180938639862131e+00
1.500000000000000000e+02,2.422904810808896615e-03,1.506211346590150990e+00
1.510000000000000000e+02,2.400952802553109507e-03,1.509204164968994677e+00
1.520000000000000000e+02,2.459811602965568649e-03,1.503392902335583425e+00
1.530000000000000000e+02,2.433035796091580737e-03,1.496747617356517068e+00
